car_id,type,time,speed,space,prev_time,prev_space,space_gap
car_0,leader,0,0.0,0.0,0,0.0,0.0
car_0,leader,5,3.0,16.38999965401378,0,0.0,0.0
car_0,leader,10,4.0,47.781795934502526,5,16.38999965401378,0.0
car_0,leader,15,6.0,98.24644672446478,10,47.781795934502526,0.0
car_0,leader,20,5.0,109.92108072736127,15,98.24644672446478,0.0
car_0,leader,25,6.0,172.29566250896977,20,109.92108072736127,0.0
car_0,leader,30,15.0,454.6945190689771,25,172.29566250896977,0.0
car_0,leader,35,13.0,471.53693780038054,30,454.6945190689771,0.0
car_0,leader,40,20.0,819.1518233233281,35,471.53693780038054,0.0
car_0,leader,45,27.0,1222.5888604637053,40,819.1518233233281,0.0
car_0,leader,50,27.0,1390.8660255950062,45,1222.5888604637053,0.0
car_0,leader,55,34.0,1903.3996152960874,50,1390.8660255950062,0.0
car_0,leader,60,35.0,2140.090743719422,55,1903.3996152960874,0.0
car_0,leader,65,37.0,2406.41104042535,60,2140.090743719422,0.0
car_0,leader,70,41.0,2913.984951182671,65,2406.41104042535,0.0
car_0,leader,75,44.0,3368.076322080572,70,2913.984951182671,0.0
car_0,leader,80,43.0,3464.6520495323653,75,3368.076322080572,0.0
car_0,leader,85,47.0,4012.2953965573224,80,3464.6520495323653,0.0
car_0,leader,90,49.0,4442.502039992214,85,4012.2953965573224,0.0
car_0,leader,95,52.0,5022.098538086512,90,4442.502039992214,0.0
car_0,leader,100,58.0,5888.100255101639,95,5022.098538086512,0.0
car_0,leader,105,56.0,5935.648704323466,100,5888.100255101639,0.0
car_0,leader,110,61.0,6753.141687302818,105,5935.648704323466,0.0
car_0,leader,115,61.0,7017.149531635954,110,6753.141687302818,0.0
