car_id,type,time,speed,space,space_gap
car_1,follower,0,0.0,0.0,0.0
car_1,follower,5,3.0,18.415481321624412,-15.390014183148345
car_1,follower,10,6.0,66.542320908899,7.189541932466327
car_1,follower,15,6.0,90.65220317132417,84.25908841118701
car_1,follower,20,8.0,168.6421740798914,74.7282483429309
car_1,follower,25,8.0,217.538723374226,75.00212460043
car_1,follower,30,10.0,303.3196864044881,57.05251138244779
car_1,follower,35,8.0,308.7970984566643,61.31593548809741
car_1,follower,40,9.0,366.2578753230989,190.8206518397834
car_1,follower,45,11.0,496.79403615584033,470.92126384359267
car_1,follower,50,13.0,673.1314133626337,336.80895917317946
car_1,follower,55,15.0,830.4897119984092,458.3725345381887
car_1,follower,60,17.0,1075.1829652699744,450.1292871223918
car_1,follower,65,20.0,1339.727944367195,605.2117306714667
car_1,follower,70,22.0,1606.2341934886776,344.2590364087039
car_1,follower,75,25.0,1914.4558342124892,727.7744013023475
car_1,follower,80,26.0,2110.9175928440395,1019.409249698112
car_1,follower,85,25.0,2198.874590436402,1486.7657675787864
car_1,follower,90,26.0,2390.4949038508976,1705.6507676909032
car_1,follower,95,28.0,2684.69368466376,2013.823676637222
car_1,follower,100,31.0,3182.2409895070905,2406.2778520024312
car_1,follower,105,31.0,3331.661663525714,2373.1375891334046
car_1,follower,110,31.0,3454.4130047380054,3265.6363597603918
car_1,follower,115,30.0,3507.5277526965037,4146.260320278119
