car_id,type,time,speed,space,space_gap
car_0,leader,0,0.0,0.0,0.0
car_0,leader,5,0.0,3.025467138476068,0.0
car_0,leader,10,7.0,73.73186284136533,0.0
car_0,leader,15,11.0,174.91129158251118,0.0
car_0,leader,20,12.0,243.3704224228223,0.0
car_0,leader,25,11.0,292.540847974656,0.0
car_0,leader,30,12.0,360.3721977869359,0.0
car_0,leader,35,10.0,370.1130339447617,0.0
car_0,leader,40,13.0,557.0785271628823,0.0
car_0,leader,45,21.0,967.715299999433,0.0
car_0,leader,50,20.0,1009.9403725358131,0.0
car_0,leader,55,23.0,1288.862246536598,0.0
car_0,leader,60,25.0,1525.3122523923662,0.0
car_0,leader,65,29.0,1944.9396750386618,0.0
car_0,leader,70,27.0,1950.4932298973815,0.0
car_0,leader,75,35.0,2642.2302355148367,0.0
car_0,leader,80,39.0,3130.3268425421516,0.0
car_0,leader,85,43.0,3685.640358015188,0.0
car_0,leader,90,45.0,4096.145671541801,0.0
car_0,leader,95,49.0,4698.517361300982,0.0
car_0,leader,100,55.0,5588.518841509522,0.0
car_0,leader,105,54.0,5704.799252659119,0.0
car_0,leader,110,61.0,6720.049364498397,0.0
car_0,leader,115,66.0,7653.788072974623,0.0
